city,country,n_reviews,n_suppliers,H_any_raw,H_any_lo,H_any_hi,H_any_se,H_conduct_raw,H_conduct_se,H_ambience_raw,H_ambience_se,H_development_raw,H_development_se,SQpos_flag_raw,SQpos_flag_se,SQneg_flag_raw,SQneg_flag_se,DQpos_flag_raw,DQpos_flag_se,EXP_flag_raw,EXP_flag_se,high_rating_raw,high_rating_se,H_adj
Abu Dhabi,United Arab Emirates,2350,506,0.5187234042553192,0.49225157472820796,0.5481852645282028,0.014139878845183565,0.38893617021276594,0.013030414761880726,0.15106382978723404,0.009535653936518262,0.2553191489361702,0.011175237117256482,0.40382978723404256,0.01243370991188858,0.05404255319148936,0.005124622156882199,0.10127659574468086,0.008169697150722764,0.648936170212766,0.012820284667837077,0.8391489361702128,0.009512460836510908,0.2708047037688513
Dubai,United Arab Emirates,3314,722,0.5126735063367531,0.4919154224175559,0.5329429713665791,0.010485091853212412,0.3955944477972239,0.01024333269083556,0.12673506336753168,0.007638240423357339,0.2582981291490646,0.01009641756275419,0.416113458056729,0.010840511820157417,0.043753771876885936,0.0042282000407508616,0.13427881713940856,0.007396667969727925,0.6804465902232951,0.010210018364197465,0.8859384429692215,0.007292279134731666,0.2790789486921677
Sharjah,United Arab Emirates,617,131,0.5072933549432739,0.4622656288245949,0.560583680276886,0.025973963661203647,0.4100486223662885,0.024127664303310505,0.14910858995137763,0.017309933005709034,0.2366288492706645,0.02117113296856104,0.4181523500810373,0.02458924713596099,0.04862236628849271,0.010438000935306403,0.1085899513776337,0.014784402415636538,0.6385737439222042,0.025836082407515146,0.8654781199351702,0.020176111531580384,0.19965933635706987
Aswan,Egypt,482,125,0.491701244813278,0.435256608716361,0.5521211668232682,0.03012917380817827,0.3651452282157676,0.026478542473998837,0.15145228215767634,0.019227246909829143,0.22199170124481327,0.022076323436384836,0.3983402489626556,0.02792040705164214,0.03112033195020747,0.008334934955002671,0.27385892116182575,0.02607594569259337,0.6410788381742739,0.03012722761985428,0.8796680497925311,0.018319605577194358,0.3964795136085176
Cape Town,South Africa,2316,540,0.4848877374784111,0.4600230506430418,0.5068937256351879,0.012279288786152233,0.35189982728842834,0.011338686447356604,0.11614853195164077,0.008367186669097318,0.20725388601036268,0.010141169314589667,0.3795336787564767,0.01291728510199884,0.046632124352331605,0.005029793551851665,0.16882556131260795,0.00979814932661057,0.6778929188255614,0.011747479993925251,0.8881692573402418,0.008582038747928594,0.21262913168355405
Delhi,India,3565,766,0.4779803646563815,0.45689024876867956,0.5003689504078941,0.010916653841581107,0.3626928471248247,0.010064777925970285,0.126507713884993,0.007015492662171601,0.20336605890603085,0.008304973134472626,0.4123422159887798,0.011821006393883298,0.05638148667601683,0.005026573470680438,0.1152875175315568,0.006324733010422507,0.6246844319775596,0.011095828185833892,0.8833099579242637,0.007991468137518455,0.16076906268623561
Lalibela,Ethiopia,145,41,0.46206896551724136,0.37371323529411765,0.5440202930781144,0.04512664847498116,0.33793103448275863,0.04733816320588618,0.1310344827586207,0.03266366949389925,0.1793103448275862,0.033310326374126335,0.4482758620689655,0.0461630901434432,0.034482758620689655,0.017955471464387043,0.3448275862068966,0.05238842707099789,0.6689655172413793,0.044001498944082694,0.8620689655172413,0.046512237522347816,0.18350434161313134
Mumbai,India,3052,655,0.459043250327654,0.4347670263669708,0.47953727387771267,0.011776364327781608,0.3394495412844037,0.010071286588075256,0.12844036697247707,0.007143696013000864,0.20249017038007863,0.008746961924269474,0.4121887287024902,0.011391122013602194,0.042267365661861074,0.004046120981882955,0.11467889908256881,0.007004373754127113,0.658256880733945,0.010626896304121643,0.8944954128440367,0.007690223851259215,0.01506822273005548
Saint Petersburg,Russia,1847,421,0.44775311315646993,0.4188035556225164,0.4741072180074924,0.014257757113589757,0.33730373578776396,0.012029562084923812,0.06442880346507851,0.006162282338043258,0.19870059556036818,0.010320716618014479,0.3757444504602057,0.014615476110174185,0.07255008121277748,0.006498452545020056,0.17433676231727124,0.01225660822890281,0.5322144017325392,0.012710455222760934,0.8137520303194369,0.012279114420067001,0.0036034961181017344
Luxor,Egypt,1053,251,0.439696106362773,0.40475876414910783,0.4768182674199623,0.01785381580640516,0.3247863247863248,0.017787885808119536,0.10161443494776828,0.010751839367507345,0.1671415004748338,0.013274264490219201,0.4301994301994302,0.0200527939171728,0.06172839506172839,0.008650765223971223,0.3333333333333333,0.019748559774483598,0.6058879392212726,0.019505929744068985,0.8566001899335233,0.016611163846900007,0.1418055412534214
